"","BNF_CODE","TOTAL_QUANTITY","POSTCODE","YEAR_MONTH","UNIDENTIFIED","PRACTICE_NAME","BNF_CHAPTER_PLUS_CODE","ACTUAL_COST","QUANTITY","REGIONAL_OFFICE_CODE","ITEMS","ADDRESS_4","AREA_TEAM_CODE","ADDRESS_2","ADDRESS_3","BNF_CHEMICAL_SUBSTANCE","ADQUSAGE","PCO_CODE","REGIONAL_OFFICE_NAME","NIC","CHEMICAL_SUBSTANCE_BNF_DESCR","PRACTICE_CODE","PCO_NAME","AREA_TEAM_NAME","BNF_DESCRIPTION","ADDRESS_1","STP_NAME","STP_CODE","ICB_NAME","ICB_CODE"
"15","0404000W0AAAAAA",60,"LE2 6UL",202004,FALSE,"SAFFRON GROUP PRACTICE","04: Central Nervous System",576.35295,60,"Y60",1,"LEICESTERSHIRE",NA,"509 SAFFRON LANE","LEICESTER","0404000W0",0,"04C00","MIDLANDS",620,"Pitolisant hydrochloride","C82046","LEICESTER CITY CCG",NA,"Pitolisant 18mg tablets","SAFFRON GROUP PRACTICE","LEICESTER, LEICESTERSHIRE & RUTLAND STP","QK1",NA,NA
"16","0404000W0AAABAB",60,"BN2 4GF",202004,FALSE,"THE AVENUE SURGERY","04: Central Nervous System",576.35295,60,"Y59",1,"BRIGHTON",NA,"1 THE AVENUE","SOUTH MOULSECOOMB","0404000W0",0,"09D00","SOUTH EAST",620,"Pitolisant hydrochloride","G81075","BRIGHTON & HOVE CCG",NA,"Pitolisant 4.5mg tablets","THE AVENUE SURGERY","SUSSEX & EAST SURREY STP","QNX",NA,NA
"17","0404000W0AAAAAA",30,"DN31 1QZ",202004,FALSE,"PELHAM MEDICAL GROUP","04: Central Nervous System",288.18268,30,"Y63",1,"GRIMSBY",NA,"CHURCH VIEW HEALTH CENTRE","CARTERGATE","0404000W0",0,"03H00","NORTH EAST AND YORKSHIRE",310,"Pitolisant hydrochloride","B81016","NORTH EAST LINCOLNSHIRE CCG",NA,"Pitolisant 18mg tablets","PELHAM MEDICAL GROUP","HUMBER, COAST & VALE STP","QOQ",NA,NA
"18","0404000W0AAAAAA",60,"TS9 6BL",202004,FALSE,"GREAT AYTON SURGERY","04: Central Nervous System",576.35295,60,"Y63",1,"NORTH YORKSHIRE",NA,"ROSEHILL","GREAT AYTON","0404000W0",0,"42D00","NORTH EAST AND YORKSHIRE",620,"Pitolisant hydrochloride","B82022","NORTH YORKSHIRE CCG",NA,"Pitolisant 18mg tablets","GREAT AYTON HEALTH CTR","HUMBER, COAST & VALE STP","QOQ",NA,NA
"19","0404000W0AAAAAA",7,"BD18 3EG",202004,FALSE,"SHIPLEY MEDICAL PRACTICE-AFFINITY CARE","04: Central Nervous System",67.34903,7,"Y63",1,NA,NA,"ALEXANDRA ROAD, SHIPLEY","BRADFORD","0404000W0",0,"36J00","NORTH EAST AND YORKSHIRE",72.33,"Pitolisant hydrochloride","B83063","BRADFORD DISTRICT AND CRAVEN CCG",NA,"Pitolisant 18mg tablets","SHIPLEY MEDICAL PRACTICE","W YORKSHIRE & HARROGATE H&C P/SHIP STP","QWO",NA,NA
"20","0404000W0AAAAAA",60,"NE35 9AN",202004,FALSE,"DR THORNILEY-WALKER & PARTNERS","04: Central Nervous System",576.35295,60,"Y63",1,"TYNE & WEAR",NA,"GIBSON COURT","BOLDON COLLIERY","0404000W0",0,"00N00","NORTH EAST AND YORKSHIRE",620,"Pitolisant hydrochloride","A88009","SOUTH TYNESIDE CCG",NA,"Pitolisant 18mg tablets","THE MEDICAL CENTRE","CUMBRIA & NORTH EAST STP","QHM",NA,NA
"21","0404000W0BBAAAA",28,"LE3 0QR",202004,FALSE,"WESTCOTES GP SURGERY (ONE)","04: Central Nervous System",269.06823,28,"Y60",1,NA,NA,"2 WESTCOTES DRIVE","LEICESTER","0404000W0",0,"04C00","MIDLANDS",289.33,"Pitolisant hydrochloride","C82059","LEICESTER CITY CCG",NA,"Wakix 18mg tablets","WESTCOTES GP SURGERY (1)","LEICESTER, LEICESTERSHIRE & RUTLAND STP","QK1",NA,NA
"22","0404000W0AAAAAA",30,"BD18 3EG",202004,FALSE,"SHIPLEY MEDICAL PRACTICE-AFFINITY CARE","04: Central Nervous System",288.18268,30,"Y63",1,NA,NA,"ALEXANDRA ROAD, SHIPLEY","BRADFORD","0404000W0",0,"36J00","NORTH EAST AND YORKSHIRE",310,"Pitolisant hydrochloride","B83063","BRADFORD DISTRICT AND CRAVEN CCG",NA,"Pitolisant 18mg tablets","SHIPLEY MEDICAL PRACTICE","W YORKSHIRE & HARROGATE H&C P/SHIP STP","QWO",NA,NA
"23","0404000W0AAAAAA",60,"WF1 3JQ",202004,FALSE,"NEW SOUTHGATE SURGERY","04: Central Nervous System",576.35295,60,"Y63",1,"WEST YORKSHIRE",NA,"BUXTON PLACE","WAKEFIELD","0404000W0",0,"03R00","NORTH EAST AND YORKSHIRE",620,"Pitolisant hydrochloride","B87027","WAKEFIELD CCG",NA,"Pitolisant 18mg tablets","NEW SOUTHGATE SURGERY","W YORKSHIRE & HARROGATE H&C P/SHIP STP","QWO",NA,NA
"24","0404000W0AAAAAA",30,"LE9 7PB",202004,FALSE,"HEATH LANE SURGERY","04: Central Nervous System",288.18268,30,"Y60",1,"LEICESTERSHIRE",NA,"HEATH LANE","EARL SHILTON","0404000W0",0,"04V00","MIDLANDS",310,"Pitolisant hydrochloride","C82121","WEST LEICESTERSHIRE CCG",NA,"Pitolisant 18mg tablets","HEATH LANE SURGERY","LEICESTER, LEICESTERSHIRE & RUTLAND STP","QK1",NA,NA
"25","0404000W0AAAAAA",30,"CV34 5GJ",202004,FALSE,"AVONSIDE HEALTH CENTRE","04: Central Nervous System",288.18268,30,"Y60",1,NA,NA,"PORTOBELLO WAY","WARWICK","0404000W0",0,"05R00","MIDLANDS",310,"Pitolisant hydrochloride","M84010","SOUTH WARWICKSHIRE CCG",NA,"Pitolisant 18mg tablets","AVONSIDE HEALTH CENTRE","COVENTRY & WARWICKSHIRE STP","QWU",NA,NA
"26","0404000W0AAAAAA",56,"BD18 3EG",202004,FALSE,"SHIPLEY MEDICAL PRACTICE-AFFINITY CARE","04: Central Nervous System",538.03335,56,"Y63",1,NA,NA,"ALEXANDRA ROAD, SHIPLEY","BRADFORD","0404000W0",0,"36J00","NORTH EAST AND YORKSHIRE",578.67,"Pitolisant hydrochloride","B83063","BRADFORD DISTRICT AND CRAVEN CCG",NA,"Pitolisant 18mg tablets","SHIPLEY MEDICAL PRACTICE","W YORKSHIRE & HARROGATE H&C P/SHIP STP","QWO",NA,NA
"27","0404000W0AAAAAA",60,"BD22 8DH",202004,FALSE,"HAWORTH MEDICAL PRACTICE","04: Central Nervous System",576.35295,60,"Y63",1,NA,NA,"HEATHCLIFFE MEWS, HAWORTH","KEIGHLEY","0404000W0",0,"36J00","NORTH EAST AND YORKSHIRE",620,"Pitolisant hydrochloride","B83027","BRADFORD DISTRICT AND CRAVEN CCG",NA,"Pitolisant 18mg tablets","HAWORTH MEDICAL PRACTICE","W YORKSHIRE & HARROGATE H&C P/SHIP STP","QWO",NA,NA
"28","0404000W0AAAAAA",60,"LE5 4BP",202004,FALSE,"EAST LEICESTER MED PRACT(S LONGWORTH)","04: Central Nervous System",596.35295,60,"Y60",1,"LEICESTERSHIRE",NA,"131 UPPINGHAM ROAD","LEICESTER","0404000W0",0,"04C00","MIDLANDS",620,"Pitolisant hydrochloride","C82063","LEICESTER CITY CCG",NA,"Pitolisant 18mg tablets","EAST LEICESTER MED.PRACT","LEICESTER, LEICESTERSHIRE & RUTLAND STP","QK1",NA,NA
"29","0404000W0AAAAAA",60,"CB22 3HU",202004,FALSE,"GRANTA MEDICAL PRACTICES","04: Central Nervous System",576.35295,60,"Y61",1,NA,NA,"LONDON ROAD, SAWSTON","CAMBRIDGE","0404000W0",0,"06H00","EAST OF ENGLAND",620,"Pitolisant hydrochloride","D81043","CAMBRIDGESHIRE AND PETERBOROUGH CCG",NA,"Pitolisant 18mg tablets","SAWSTON MEDICAL CENTRE","CAMBRIDGESHIRE & PETERBOROUGH STP","QUE",NA,NA
"30","0404000W0AAAAAA",30,"PE29 3EZ",202004,FALSE,"THE HICKS GROUP PRACTICE","04: Central Nervous System",288.18268,30,"Y61",1,"CAMBRIDGESHIRE",NA,"75 ERMINE STREET","HUNTINGDON","0404000W0",0,"06H00","EAST OF ENGLAND",310,"Pitolisant hydrochloride","D81050","CAMBRIDGESHIRE AND PETERBOROUGH CCG",NA,"Pitolisant 18mg tablets","CHARLES HICKS CENTRE","CAMBRIDGESHIRE & PETERBOROUGH STP","QUE",NA,NA
"31","0404000W0AAAAAA",60,"BD4 7SS",202004,FALSE,"ROOLEY LANE MED. CENTRE","04: Central Nervous System",576.35295,60,"Y63",1,"WEST YORKSHIRE",NA,"ROOLEY LANE","BRADFORD","0404000W0",0,"36J00","NORTH EAST AND YORKSHIRE",620,"Pitolisant hydrochloride","B83042","BRADFORD DISTRICT AND CRAVEN CCG",NA,"Pitolisant 18mg tablets","ROOLEY LANE MEDICAL CTR","W YORKSHIRE & HARROGATE H&C P/SHIP STP","QWO",NA,NA
"32","0404000W0AAAAAA",60,"PE1 3HP",202004,FALSE,"THISTLEMOOR MEDICAL CENTRE","04: Central Nervous System",576.35295,60,"Y61",1,"CAMBRIDGESHIRE",NA,"6-10 THISTLEMOOR ROAD","PETERBOROUGH","0404000W0",0,"06H00","EAST OF ENGLAND",620,"Pitolisant hydrochloride","D81625","CAMBRIDGESHIRE AND PETERBOROUGH CCG",NA,"Pitolisant 18mg tablets","THISTLEMOOR MED CENTRE","CAMBRIDGESHIRE & PETERBOROUGH STP","QUE",NA,NA
"33","0404000W0AAAAAA",60,"HX3 8AF",202004,FALSE,"DR CHIN AND PARTNERS","04: Central Nervous System",576.35295,60,"Y63",1,"WEST YORKSHIRE",NA,"4 ROYDLANDS STREET","HIPPERHOLME, HALIFAX","0404000W0",0,"02T00","NORTH EAST AND YORKSHIRE",620,"Pitolisant hydrochloride","B84008","CALDERDALE CCG",NA,"Pitolisant 18mg tablets","KOS CLINIC","W YORKSHIRE & HARROGATE H&C P/SHIP STP","QWO",NA,NA
"34","0404000W0AAAAAA",60,"LE3 1HN",202004,FALSE,"HOCKLEY FARM MED PRACT (A NANA)","04: Central Nervous System",576.35295,60,"Y60",1,NA,NA,"39 HOCKLEY FARM ROAD","BRAUNSTONE, LEICESTER","0404000W0",0,"04C00","MIDLANDS",620,"Pitolisant hydrochloride","C82053","LEICESTER CITY CCG",NA,"Pitolisant 18mg tablets","HOCKLEY FARM MEDICAL PRAC","LEICESTER, LEICESTERSHIRE & RUTLAND STP","QK1",NA,NA
"35","0404000W0AAAAAA",56,"HG2 7SA",202004,FALSE,"KINGSWOOD SURGERY","04: Central Nervous System",538.03335,56,"Y63",1,"NORTH YORKSHIRE",NA,NA,"HARROGATE","0404000W0",0,"42D00","NORTH EAST AND YORKSHIRE",578.67,"Pitolisant hydrochloride","B82014","NORTH YORKSHIRE CCG",NA,"Pitolisant 18mg tablets","14 WETHERBY ROAD","HUMBER, COAST & VALE STP","QOQ",NA,NA
"36","0404000W0AAAAAA",30,"DN31 1QZ",202104,FALSE,"PELHAM MEDICAL GROUP","04: Central Nervous System",288.7518,30,"Y63",1,"GRIMSBY",NA,"CHURCH VIEW HEALTH CENTRE","CARTERGATE","0404000W0",0,"03H00","NORTH EAST AND YORKSHIRE",310,"Pitolisant hydrochloride","B81016","NORTH EAST LINCOLNSHIRE CCG",NA,"Pitolisant 18mg tablets","PELHAM MEDICAL GROUP","HUMBER, COAST & VALE STP","QOQ",NA,NA
"37","0404000W0AAAAAA",60,"DN33 3JF",202104,FALSE,"SCARTHO MEDICAL CENTRE","04: Central Nervous System",663.9912,60,"Y63",1,NA,NA,"SPRINGFIELD RD, SCARTHO","GRIMSBY","0404000W0",0,"03H00","NORTH EAST AND YORKSHIRE",620,"Pitolisant hydrochloride","B81030","NORTH EAST LINCOLNSHIRE CCG",NA,"Pitolisant 18mg tablets","SCARTHO MEDICAL PRACTICE","HUMBER, COAST & VALE STP","QOQ",NA,NA
"38","0404000W0AAAAAA",60,"LE2 7HX",202104,FALSE,"DE MONTFORT SURGERY","04: Central Nervous System",577.4912,60,"Y60",1,NA,NA,"STUDENT HC, 100 MILL LANE","LEICESTER","0404000W0",0,"04C00","MIDLANDS",620,"Pitolisant hydrochloride","C82020","LEICESTER CITY CCG",NA,"Pitolisant 18mg tablets","DE MONTFORT SURGERY","LEICESTER, LEICESTERSHIRE & RUTLAND STP","QK1",NA,NA
"39","0404000W0AAAAAA",30,"LE9 7PB",202104,FALSE,"HEATH LANE SURGERY","04: Central Nervous System",288.7518,30,"Y60",1,"LEICESTERSHIRE",NA,"HEATH LANE","EARL SHILTON","0404000W0",0,"04V00","MIDLANDS",310,"Pitolisant hydrochloride","C82121","WEST LEICESTERSHIRE CCG",NA,"Pitolisant 18mg tablets","HEATH LANE SURGERY","LEICESTER, LEICESTERSHIRE & RUTLAND STP","QK1",NA,NA
"40","0404000W0AAAAAA",56,"HG2 7SA",202104,FALSE,"KINGSWOOD SURGERY","04: Central Nervous System",539.09571,56,"Y63",1,"NORTH YORKSHIRE",NA,NA,"HARROGATE","0404000W0",0,"42D00","NORTH EAST AND YORKSHIRE",578.67,"Pitolisant hydrochloride","B82014","NORTH YORKSHIRE CCG",NA,"Pitolisant 18mg tablets","14 WETHERBY ROAD","HUMBER, COAST & VALE STP","QOQ",NA,NA
"41","0404000W0AAAAAA",60,"LE3 1HN",202104,FALSE,"HOCKLEY FARM MED PRACT (A NANA)","04: Central Nervous System",577.4912,60,"Y60",1,NA,NA,"39 HOCKLEY FARM ROAD","BRAUNSTONE, LEICESTER","0404000W0",0,"04C00","MIDLANDS",620,"Pitolisant hydrochloride","C82053","LEICESTER CITY CCG",NA,"Pitolisant 18mg tablets","HOCKLEY FARM MEDICAL PRAC","LEICESTER, LEICESTERSHIRE & RUTLAND STP","QK1",NA,NA
"42","0404000W0AAAAAA",14,"BD18 3EG",202104,FALSE,"SHIPLEY MEDICAL PRACTICE-AFFINITY CARE","04: Central Nervous System",134.86056,14,"Y63",1,NA,NA,"ALEXANDRA ROAD, SHIPLEY","BRADFORD","0404000W0",0,"36J00","NORTH EAST AND YORKSHIRE",144.67,"Pitolisant hydrochloride","B83063","BRADFORD DISTRICT AND CRAVEN CCG",NA,"Pitolisant 18mg tablets","SHIPLEY MEDICAL PRACTICE","W YORKSHIRE & HARROGATE H&C P/SHIP STP","QWO",NA,NA
"43","0404000W0AAAAAA",30,"SK9 5HX",202104,FALSE,"WILMSLOW HEALTH CENTRE","04: Central Nervous System",375.2518,30,"Y62",1,"CHESHIRE",NA,"CHAPEL LANE","WILMSLOW","0404000W0",0,"27D00","NORTH WEST",310,"Pitolisant hydrochloride","N81086","CHESHIRE CCG",NA,"Pitolisant 18mg tablets","WILMSLOW HEALTH CENTRE","CHESHIRE & MERSEYSIDE STP","QYG",NA,NA
"44","0404000W0AAAAAA",60,"NE35 9AN",202104,FALSE,"DR THORNILEY-WALKER & PARTNERS","04: Central Nervous System",577.4912,60,"Y63",1,"TYNE & WEAR",NA,"GIBSON COURT","BOLDON COLLIERY","0404000W0",0,"00N00","NORTH EAST AND YORKSHIRE",620,"Pitolisant hydrochloride","A88009","SOUTH TYNESIDE CCG",NA,"Pitolisant 18mg tablets","THE MEDICAL CENTRE","CUMBRIA & NORTH EAST STP","QHM",NA,NA
"45","0404000W0AAAAAA",30,"CV12 0AJ",202104,FALSE,"WOODLANDS SURGERY","04: Central Nervous System",288.7518,30,"Y60",1,"WARWICKSHIRE",NA,"BEDWORTH","NUNEATON","0404000W0",0,"B2M3M","MIDLANDS",310,"Pitolisant hydrochloride","M84609","COVENTRY AND WARWICKSHIRE CCG",NA,"Pitolisant 18mg tablets","301 NEWTOWN ROAD","COVENTRY & WARWICKSHIRE STP","QWU",NA,NA
"46","0404000W0AAAAAA",60,"BD22 8DH",202104,FALSE,"HAWORTH MEDICAL PRACTICE","04: Central Nervous System",577.4912,60,"Y63",1,NA,NA,"HEATHCLIFFE MEWS, HAWORTH","KEIGHLEY","0404000W0",0,"36J00","NORTH EAST AND YORKSHIRE",620,"Pitolisant hydrochloride","B83027","BRADFORD DISTRICT AND CRAVEN CCG",NA,"Pitolisant 18mg tablets","HAWORTH MEDICAL PRACTICE","W YORKSHIRE & HARROGATE H&C P/SHIP STP","QWO",NA,NA
"47","0404000W0AAAAAA",14,"N4 3DU",202104,FALSE,"HANLEY PRIMARY CARE CENTRE","04: Central Nervous System",134.86056,14,"Y56",1,"LONDON",NA,"51 HANLEY ROAD","ISLINGTON","0404000W0",0,"93C00","LONDON",144.67,"Pitolisant hydrochloride","Y01066","NORTH CENTRAL LONDON CCG",NA,"Pitolisant 18mg tablets","HANLEY PRIMARY CARE CTR","NORTH LONDON PARTNERS IN H&C STP","QMJ",NA,NA
"48","0404000W0AAAAAA",84,"TS23 2LS",202104,FALSE,"KINGSWAY MEDICAL CENTRE","04: Central Nervous System",808.58271,84,"Y63",1,"CLEVELAND",NA,"KINGSWAY","BILLINGHAM","0404000W0",0,"16C00","NORTH EAST AND YORKSHIRE",868,"Pitolisant hydrochloride","A81057","TEES VALLEY CCG",NA,"Pitolisant 18mg tablets","KINGSWAY MEDICAL CENTRE","CUMBRIA & NORTH EAST STP","QHM",NA,NA
"49","0404000W0AAAAAA",60,"LE18 4SE",202104,FALSE,"SOUTH WIGSTON HEALTH CTR.","04: Central Nervous System",577.4912,60,"Y60",1,"LEICESTERSHIRE",NA,"80 BLABY ROAD","SOUTH WIGSTON","0404000W0",0,"03W00","MIDLANDS",620,"Pitolisant hydrochloride","C82079","EAST LEICESTERSHIRE AND RUTLAND CCG",NA,"Pitolisant 18mg tablets","SOUTH WIGSTON HEALTH CTR","LEICESTER, LEICESTERSHIRE & RUTLAND STP","QK1",NA,NA
"50","0404000W0BBAAAA",28,"LE3 0QR",202104,FALSE,"WESTCOTES GP SURGERY (ONE)","04: Central Nervous System",269.5994,28,"Y60",1,NA,NA,"2 WESTCOTES DRIVE","LEICESTER","0404000W0",0,"04C00","MIDLANDS",289.33,"Pitolisant hydrochloride","C82059","LEICESTER CITY CCG",NA,"Wakix 18mg tablets","WESTCOTES GP SURGERY (1)","LEICESTER, LEICESTERSHIRE & RUTLAND STP","QK1",NA,NA
"51","0404000W0AAAAAA",60,"CB22 3HU",202104,FALSE,"GRANTA MEDICAL PRACTICES","04: Central Nervous System",597.4912,60,"Y61",1,NA,NA,"LONDON ROAD, SAWSTON","CAMBRIDGE","0404000W0",0,"06H00","EAST OF ENGLAND",620,"Pitolisant hydrochloride","D81043","CAMBRIDGESHIRE AND PETERBOROUGH CCG",NA,"Pitolisant 18mg tablets","SAWSTON MEDICAL CENTRE","CAMBRIDGESHIRE & PETERBOROUGH STP","QUE",NA,NA
"52","0404000W0AAAAAA",30,"PE1 3HP",202104,FALSE,"THISTLEMOOR MEDICAL CENTRE","04: Central Nervous System",288.7518,30,"Y61",1,"CAMBRIDGESHIRE",NA,"6-10 THISTLEMOOR ROAD","PETERBOROUGH","0404000W0",0,"06H00","EAST OF ENGLAND",310,"Pitolisant hydrochloride","D81625","CAMBRIDGESHIRE AND PETERBOROUGH CCG",NA,"Pitolisant 18mg tablets","THISTLEMOOR MED CENTRE","CAMBRIDGESHIRE & PETERBOROUGH STP","QUE",NA,NA
"53","0404000W0AAABAB",30,"SK9 5HX",202104,FALSE,"WILMSLOW HEALTH CENTRE","04: Central Nervous System",288.7518,30,"Y62",1,"CHESHIRE",NA,"CHAPEL LANE","WILMSLOW","0404000W0",0,"27D00","NORTH WEST",310,"Pitolisant hydrochloride","N81086","CHESHIRE CCG",NA,"Pitolisant 4.5mg tablets","WILMSLOW HEALTH CENTRE","CHESHIRE & MERSEYSIDE STP","QYG",NA,NA
