PRACTICE_CODE,PRACTICE_NAME,STP_CODE
A84011,WHITE MEDICAL GROUP,QHM
A84013,THE GABLES MEDICAL GROUP,QHM
A84014,MARINE MEDICAL GROUP,QHM
A84016,PRUDHOE MEDICAL GROUP,QHM
A84018,CORBRIDGE HEALTH CENTRE,QHM
A84020,GUIDEPOST MEDICAL GROUP,QHM
A84022,COQUET MEDICAL GROUP,QHM
A84024,BURN BRAE MEDICAL GROUP,QHM
A84025,CRAMLINGTON MEDICAL GROUP,QHM
A84026,WELL CLOSE MEDICAL GROUP,QHM
A84027,BELLINGHAM PRACTICE,QHM
A84028,SEATON PARK MEDICAL GROUP,QHM
A84029,WIDDRINGTON SURGERY,QHM
A84030,VILLAGE MEDICAL GROUP,QHM
A84031,GREYSTOKE SURGERY,QHM
A84032,CHEVIOT MEDICAL GROUP,QHM
A84033,THE SELE MEDICAL PRACTICE,QHM
A84034,HALTWHISTLE MEDICAL GROUP,QHM
A84035,RIVERSDALE SURGERY,QHM
A84036,WELLWAY MEDICAL GROUP,QHM
A84037,NETHERFIELD HOUSE,QHM
A84038,FORUM FAMILY PRACTICE,QHM
A84039,GAS HOUSE LANE SURGERY,QHM
A84040,HUMSHAUGH & WARK MED GRP,QHM
A84042,SCOTS GAP MEDICAL GROUP,QHM
A84043,BROCKWELL MEDICAL GROUP,QHM
A84044,UNION BRAE & NORHAM PRAC,QHM
A84045,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,QHM
A84047,BRANCH END SURGERY,QHM
A84604,THE GLENDALE SURGERY,QHM
A84609,FELTON SURGERY,QHM
A84614,THE ADDERLANE SURGERY,QHM
A84619,ELSDON AVENUE SURGERY,QHM
A85001,FELL TOWER MEDICAL CENTRE,QHM
A85002,BENSHAM FAMILY PRACTICE,QHM
A85003,ROWLANDS GILL MEDICAL CENTRE,QHM
A85004,LONGRIGG MEDICAL CENTRE,QHM
A85005,OXFORD TCE & RAWLING RD MEDICAL GROUP,QHM
A85006,GLENPARK MEDICAL CENTRE,QHM
A85007,FELL COTTAGE SURGERY,QHM
A85008,BIRTLEY MEDICAL GROUP,QHM
A85009,CROWHALL MEDICAL CENTRE,QHM
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,QHM
A85011,ST. ALBANS MEDICAL GROUP,QHM
A85012,METRO INTERCHANGE SURGERY,QHM
A85013,MILLENNIUM FAMILY PRACTICE,QHM
A85014,CRAWCROOK MEDICAL CENTRE,QHM
A85016,WREKENTON MEDICAL GROUP,QHM
A85017,BEWICK ROAD SURGERY,QHM
A85018,OLDWELL SURGERY,QHM
A85019,CENTRAL GATESHEAD MEDICAL GROUP,QHM
A85020,WHICKHAM COTTAGE MEDICAL CENTRE,QHM
A85021,SECOND STREET SURGERY,QHM
A85023,TEAMS MEDICAL PRACTICE,QHM
A85024,CHOPWELL PRIMARY HEALTHCARE CENTRE,QHM
A85026,BEACON VIEW MEDICAL CENTRE,QHM
A85611,PELAW MEDICAL PRACTICE,QHM
A85614,THE BRIDGES MEDICAL PRACTICE,QHM
A85616,HOLLYHURST MEDICAL CENTRE,QHM
A85617,SUNNISIDE SURGERY,QHM
A85620,GRANGE ROAD MEDICAL PRACTICE,QHM
A86003,SAVILLE MEDICAL GROUP,QHM
A86004,PROSPECT MEDICAL CENTRE,QHM
A86005,WEST FARM SURGERY,QHM
A86006,ROSEWORTH SURGERY,QHM
A86007,AVENUE MEDICAL PRACTICE,QHM
A86008,PARK MEDICAL GROUP,QHM
A86010,BIDDLESTONE HEALTH GROUP,QHM
A86011,WALKER MEDICAL GROUP,QHM
A86012,WEST ROAD MEDICAL CENTRE,QHM
A86013,DENTON PARK MEDICAL GROUP,QHM
A86016,LANE END SURGERY,QHM
A86017,CRUDDAS PARK SURGERY,QHM
A86018,THE GROVE MEDICAL GROUP,QHM
A86020,THE SURGERY-OSBORNE ROAD,QHM
A86021,HOLMSIDE MEDICAL GROUP,QHM
A86022,PARKWAY MEDICAL GROUP,QHM
A86023,BENFIELD PARK MEDICAL GROUP,QHM
A86024,HEATON ROAD SURGERY,QHM
A86025,WESTERHOPE MEDICAL GROUP,QHM
A86026,THROCKLEY PRIMARY CARE CENTRE,QHM
A86027,NEWCASTLE MEDICAL CENTRE,QHM
A86028,REGENT MEDICAL CENTRE,QHM
A86029,THORNFIELD MEDICAL GROUP,QHM
A86030,BETTS AVENUE MEDICAL GROUP,QHM
A86031,FENHAM HALL SURGERY,QHM
A86033,BRUNTON PARK,QHM
A86035,BROADWAY MEDICAL CENTRE,QHM
A86036,GOSFORTH MEMORIAL MED.CTR,QHM
A86037,ELSWICK FAMILY PRACTICE,QHM
A86038,NEWBURN SURGERY,QHM
A86040,ST. ANTHONY'S HEALTH CENTRE,QHM
A86041,SWARLAND AVENUE SURGERY,QHM
A86601,DENTON TURRET MEDICAL CENTRE,QHM
A87002,SPRING TERRACE HEALTH CENTRE,QHM
A87003,PORTUGAL PLACE HEALTH CTR,QHM
A87004,COLLINGWOOD HEALTH GROUP,QHM
A87005,WHITLEY BAY HEALTH CENTRE,QHM
A87006,49 MARINE AVENUE SURGERY,QHM
A87007,FOREST HALL MEDICAL GROUP,QHM
A87008,MARINE AVENUE MEDICAL CTR,QHM
A87009,PRIORY MEDICAL GROUP,QHM
A87011,BEAUMONT PARK SURGERY,QHM
A87012,WIDEOPEN MEDICAL CENTRE,QHM
A87013,BEWICKE MEDICAL CENTRE,QHM
A87016,THE VILLAGE GREEN SURGERY,QHM
A87017,WOODLANDS PARK HEALTH CTR,QHM
A87019,NELSON MEDICAL GROUP,QHM
A87020,MONKSEATON MEDICAL CENTRE,QHM
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,QHM
A87023,BRIDGE MEDICAL,QHM
A87029,PARK ROAD MEDICAL PRACT,QHM
A87030,REDBURN PARK MEDICAL CENTRE,QHM
A87600,PARK PARADE PRACTICE,QHM
A87612,WELLSPRING MEDICAL PRACT.,QHM
A87615,MALLARD MEDICAL PRACTICE,QHM
A88001,VICTORIA MEDICAL CENTRE,QHM
A88002,FARNHAM MEDICAL CTR.,QHM
A88003,MARSDEN RD. HEALTH CENTRE,QHM
A88004,MAYFIELD MEDICAL GROUP,QHM
A88005,WENLOCK ROAD SURGERY,QHM
A88006,TALBOT MEDICAL CENTRE,QHM
A88007,WAWN STREET SURGERY,QHM
A88008,TRINITY MEDICAL CENTRE,QHM
A88009,DR THORNILEY-WALKER & PARTNERS,QHM
A88010,ALBERT ROAD SURGERY,QHM
A88012,ELLISON VIEW SURGERY,QHM
A88013,CENTRAL SURGERY,QHM
A88014,STANHOPE PARADE HEALTH CENTRE,QHM
A88015,ST GEORGE & RIVERSIDE MEDICAL PRACTICE,QHM
A88016,COLLIERY COURT MEDICAL GROUP,QHM
A88022,THE GLEN MEDICAL GROUP,QHM
A88023,WHITBURN SURGERY,QHM
A88025,THE G.P.SUITE,QHM
A88601,IMEARY STREET PRACTICE,QHM
A88608,RAVENSWORTH SURGERY,QHM
A88613,EAST WING PRACTICE,QHM
A89001,DEERNESS PARK MEDICAL GROUP,QHM
A89002,DR BHATE SURGERY,QHM
A89004,HETTON GROUP PRACTICE,QHM
A89005,VILLETTE SURGERY,QHM
A89006,WEARSIDE MEDICAL PRACTICE - PALLION,QHM
A89007,PALLION FAMILY PRACTICE,QHM
A89008,RED HOUSE MEDICAL CENTRE,QHM
A89009,HERRINGTON MEDICAL CENTRE,QHM
A89010,DR STEPHENSON & PARTNERS,QHM
A89011,JOSHI NA,QHM
A89012,GALLERIES MEDICAL PRACTICE,QHM
A89013,THE NEW CITY MEDICAL GROUP,QHM
A89015,"FULWELL MEDICAL CENTRE,",QHM
A89016,ST BEDE MEDICAL CENTRE,QHM
A89017,MILLFIELD MEDICAL GROUP,QHM
A89018,ASHBURN MEDICAL CENTRE,QHM
A89019,BRIDGE VIEW MEDICAL GROUP,QHM
A89020,FORGE MEDICAL PRACTICE,QHM
A89021,KEPIER MEDICAL PRACTICE,QHM
A89022,CONCORD MEDICAL PRACTICE,QHM
A89023,"HOUGHTON MEDICAL GROUP,",QHM
A89024,THE BROADWAY MEDICAL PRACTICE,QHM
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,QHM
A89026,NEW WASHINGTON MEDICAL GROUP,QHM
A89027,SPRINGWELL MEDICAL GROUP,QHM
A89028,GRANGEWOOD SURGERY,QHM
A89030,WESTBOURNE MEDICAL GROUP,QHM
A89031,HYLTON MEDICAL GROUP,QHM
A89032,NEW SILKSWORTH MEDICAL PRACTICE,QHM
A89034,PARK LANE PRACTICE,QHM
A89035,SOUTHLANDS MEDICAL GROUP,QHM
A89036,CASTLETOWN MEDICAL CENTRE,QHM
A89040,MONKWEARMOUTH HEALTH CENTRE,QHM
A89041,HAPPY HOUSE SURGERY,QHM
A89614,SUNDERLAND GP ALLIANCE SOUTH HYLTON SURG,QHM
A89616,RICKLETON MEDICAL CENTRE,QHM
A89617,I J HEALTHCARE,QHM
A89623,CHESTER SURGERY,QHM
B81002,CHP LTD - BRANSHOLME,QOQ
B81003,BEACON MEDICAL,QOQ
B81004,"EASTGATE MEDICAL GROUP, HORNSEA",QOQ
B81005,THE CENTRAL SURGERY BARTON,QOQ
B81006,HUMBER PRIMARY CARE LTD,QOQ
B81007,WINTERTON MEDICAL PRACTICE,QOQ
B81008,EAST HULL FAMILY PRACTICE,QOQ
B81009,MARKET WEIGHTON GROUP PRACTICE,QOQ
B81010,HESSLE GRANGE MEDICAL PRACTICE,QOQ
B81011,KINGSTON HEALTH (HULL),QOQ
B81012,DR AP KUMAR,QOQ
B81013,MONTAGUE MEDICAL PRACTICE,QOQ
B81014,PRACTICE TWO,QOQ
B81015,CLEE MEDICAL CENTRE,QOQ
B81016,PELHAM MEDICAL GROUP,QOQ
B81017,KINGSTON MEDICAL GROUP,QOQ
B81018,ORCHARD 2000 GROUP,QOQ
B81020,THE SUTTON MANOR SURGERY,QOQ
B81022,CAMBRIDGE AVENUE MEDICAL CENTRE,QOQ
B81023,THE CHANTRY HEALTH GROUP,QOQ
B81024,THE WILLERBY SURGERY,QOQ
B81025,HOLDERNESS HEALTH,QOQ
B81026,ANCORA MEDICAL PRACTICE,QOQ
B81027,ST ANDREWS SURGERY,QOQ
B81029,THE SNAITH AND RAWCLIFFE MEDICAL GROUP,QOQ
B81030,SCARTHO MEDICAL CENTRE,QOQ
B81031,FIELDHOUSE MEDICAL GROUP,QOQ
B81032,WILBERFORCE SURGERY,QOQ
B81034,LEVEN & BEEFORD MEDICAL PRACTICE,QOQ
B81035,THE AVENUES MEDICAL CENTRE,QOQ
B81036,POCKLINGTON GROUP PRACTICE,QOQ
B81037,THE PARK SURGERY,QOQ
B81038,DR IA GALEA AND PARTNERS,QOQ
B81039,THE ROXTON PRACTICE,QOQ
B81040,DR JAD WEIR & PARTNERS,QOQ
B81041,GILBERDYKE HEALTH CENTRE,QOQ
B81042,MANOR ROAD SURGERY,QOQ
B81043,SOUTH AXHOLME PRACTICE,QOQ
B81045,ASHBY TURN PRIMARY CARE PARTNERS,QOQ
B81046,THE BRIDGE GROUP PRACTICE,QOQ
B81047,WOLSELEY MEDICAL CENTRE,QOQ
B81048,MODALITY PARTNERSHIP (HULL),QOQ
B81051,OLD FIRE STATION SURGERY,QOQ
B81052,PRINCES MEDICAL CENTRE,QOQ
B81054,CLIFTON HOUSE MEDICAL CENTRE,QOQ
B81055,THE LYNTON PRACTICE,QOQ
B81058,SYDENHAM GROUP PRACTICE,QOQ
B81060,"FIELD HOUSE SURGERY, BRIDLINGTON",QOQ
B81061,THE RIDINGS MEDICAL GROUP,QOQ
B81063,BRIDGE STREET SURGERY,QOQ
B81064,CHURCH LANE MEDICAL CENTRE,QOQ
B81065,TRENT VIEW MEDICAL PRACTICE,QOQ
B81068,DR THORNTON & PARTNERS,QOQ
B81069,"PRACTICE 3, MEDICAL CENTRE, BRIDLINGTON",QOQ
B81070,PRACTICE ONE,QOQ
B81074,CITY HEALTH PRACTICE LTD,QOQ
B81075,HASTINGS MEDICAL CENTRE,QOQ
B81077,WOODFORD MEDICAL PRACTICE,QOQ
B81082,NORTH BEVERLEY MEDICAL CENTRE,QOQ
B81085,BURNBRAE MEDICAL PRACTICE,QOQ
B81087,BIRKWOOD MEDICAL CENTRE,QOQ
B81088,HOWDEN MEDICAL PRACTICE,QOQ
B81090,THE OSWALD ROAD MEDICAL SURGERY,QOQ
B81091,LITTLEFIELD SURGERY,QOQ
B81092,"THE MEDICAL CENTRE, DRIFFIELD",QOQ
B81095,COOK BF,QOQ
B81097,DELTA HEALTHCARE,QOQ
B81099,THE KIRTON LINDSEY AND SCOTTER SURGERY,QOQ
B81100,DR AC MILNER,QOQ
B81101,GREENGATES MEDICAL GROUP,QOQ
B81104,NAYAR JK,QOQ
B81108,DR A SINHA,QOQ
B81109,RIVERSIDE SURGERY,QOQ
B81112,JAMES ALEXANDER FAMILY PRACTICE,QOQ
B81113,CEDAR MEDICAL PRACTICE,QOQ
B81118,WEST COMMON LANE TEACHING PRACTICE,QOQ
B81119,GOODHEART SURGERY,QOQ
B81603,ROXTON AT WEELSBY VIEW,QOQ
B81606,STIRLING MEDICAL CENTRE (MATHEWS),QOQ
B81616,DR GT HENDOW'S PRACTICE,QOQ
B81617,THE BIRCHES MEDICAL PRACTICE,QOQ
B81619,PARK VIEW SURGERY,QOQ
B81620,BISWAS B,QOQ
B81628,BARNETBY MEDICAL CENTRE,QOQ
B81631,DRS RAUT AND THOUFEEQ,QOQ
B81635,LAURBEL SURGERY,QOQ
B81642,DR OZ QURESHI,QOQ
B81645,EAST PARK PRACTICE,QOQ
B81647,WEST TOWN SURGERY,QOQ
B81648,THE KILLINGHOLME SURGERY,QOQ
B81653,THE CHESTNUTS & HALLGATE SURGERY,QOQ
B81655,GREENLANDS SURGERY,QOQ
B81656,RAJ MEDICAL CENTRE,QOQ
B81658,PEELER HOUSE SURGERY,QOQ
B81663,CORE CARE FAMILY PRACTICE,QOQ
B81664,HUMBERVIEW SURGERY,QOQ
B81665,HEALING PARTNERSHIP,QOQ
B81666,DR MITCHELL,QOQ
B81675,HAXBY GROUP CALVERT & NEWINGTON,QOQ
B81677,DRS CHALMERS & MEIER,QOQ
B81688,GOODHEART SURGERY,QOQ
B81697,DR P SURESH BABU,QOQ
B82002,MILLFIELD SURGERY,QOQ
B82004,NIDDERDALE GROUP PRACTICE,QOQ
B82005,PRIORY MEDICAL GROUP,QOQ
B82007,TOWNHEAD SURGERY,QWO
B82008,NORTH HOUSE SURGERY,QOQ
B82010,RIPON SPA SURGERY,QOQ
B82011,SHERBURN SURGERY,QOQ
B82012,THE LEEDS ROAD PRACTICE,QOQ
B82013,THE MOSS PRACTICE,QOQ
B82014,KINGSWOOD SURGERY,QOQ
B82016,EAST PARADE SURGERY,QOQ
B82017,WHITBY GROUP PRACTICE,QOQ
B82018,ESCRICK SURGERY,QOQ
B82019,TOPCLIFFE SURGERY,QOQ
B82020,CROSS HILLS GROUP PRACTICE,QWO
B82021,DALTON TERRACE SURGERY,QOQ
B82022,GREAT AYTON SURGERY,QOQ
B82023,CATTERICK VILLAGE SURGERY,QOQ
B82024,EASTFIELD MEDICAL CENTRE,QOQ
B82025,DERWENT PRACTICE,QOQ
B82026,HAXBY GROUP PRACTICE,QOQ
B82027,THE SPA SURGERY,QOQ
B82028,FISHER MEDICAL CENTRE,QWO
B82029,ALDBROUGH ST JOHN SURGERY,QOQ
B82030,DR AKESTER & PARTNERS,QOQ
B82031,SHERBURN GROUP PRACTICE,QOQ
B82032,CHURCH LANE SURGERY,QOQ
B82033,PICKERING MEDICAL PRACTICE,QOQ
B82034,QUAKERS LANE SURGERY,QOQ
B82035,SCORTON MEDICAL CENTRE,QOQ
B82036,DR INGRAM & PTRS,QOQ
B82037,FILEY SURGERY,QOQ
B82038,CENTRAL HEALTHCARE,QOQ
B82041,BEECH TREE SURGERY,QOQ
B82042,LAMBERT MEDICAL CENTRE,QOQ
B82044,STOKESLEY SURGERY,QOQ
B82045,CENTRAL DALES PRACTICE,QOQ
B82046,STAITHES SURGERY,QOQ
B82047,UNITY HEALTH,QOQ
B82049,THIRSK DOCTORS SURGERY,QOQ
B82050,MOWBRAY HOUSE SURGERY,QOQ
B82053,DYNELEY HOUSE SURGERY,QWO
B82054,SCARBOROUGH MEDICAL GROUP,QOQ
B82057,SPRINGBANK SURGERY,QOQ
B82059,CHURCH AVENUE MEDICAL GROUP,QOQ
B82060,EASTGATE MEDICAL GROUP,QOQ
B82061,BENTHAM MEDICAL PRACTICE,QE1
B82062,EGTON SURGERY,QOQ
B82063,AYTON AND SNAINTON MEDICAL PRACTICE,QOQ
B82064,TOLLERTON SURGERY,QOQ
B82066,GLEBE HOUSE SURGERY,QOQ
B82067,STOCKWELL ROAD SURGERY,QOQ
B82068,HELMSLEY SURGERY,QOQ
B82069,BEECH HOUSE SURGERY,QOQ
