date,id,name,y_items,y_actual_cost,x_items,x_actual_cost,,,
01/01/2019,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,6,4130.66,0,0,,NHS Lincolnshire Integrated Care Board,
01/01/2019,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,2,2029.82,0,0,,NHS Mid and South Essex Integrated Care Board,
01/01/2019,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,3,2338.97,0,0,,NHS Norfolk and Waveney Integrated Care Board,
01/01/2019,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,0,0,0,0,,NHS North Central London Integrated Care Board,
01/01/2019,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,5,4090.65,0,0,,NHS North East and North Cumbria Integrated Care Board,
01/01/2019,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,1,668.28,0,0,,NHS North East London Integrated Care Board,
01/01/2019,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,0,0,0,0,,NHS North West London Integrated Care Board,
01/01/2019,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,6,5427.18,0,0,,NHS Northamptonshire Integrated Care Board,
01/01/2019,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,0,0,0,0,,NHS Nottingham and Nottinghamshire Integrated Care Board,
01/01/2019,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",0,0,0,0,,"NHS Shropshire, Telford and Wrekin Integrated Care Board",
01/01/2019,QSL,NHS SOMERSET INTEGRATED CARE BOARD,0,0,0,0,,NHS Somerset Integrated Care Board,
01/01/2019,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,4,3027.25,0,0,,NHS South East London Integrated Care Board,
01/01/2019,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,0,0,0,0,,NHS South West London Integrated Care Board,
01/01/2019,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1,1002.41,0,0,,NHS South Yorkshire Integrated Care Board,
01/01/2019,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,0,0,0,0,,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,
01/01/2019,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,5,5427.18,0,0,,NHS Suffolk and North East Essex Integrated Care Board,
01/01/2019,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1,1002.41,0,0,,NHS Surrey Heartlands Integrated Care Board,
01/01/2019,QNX,NHS SUSSEX INTEGRATED CARE BOARD,6,5862.32,0,0,,NHS Sussex Integrated Care Board,
01/01/2019,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,1,1002.41,0,0,,NHS West Yorkshire Integrated Care Board,
01/02/2019,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",0,0,0,0,,,
01/02/2019,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1,1002.92,0,0,,,
01/02/2019,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",0,0,0,0,,,
01/02/2019,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",0,0,0,0,,,
01/02/2019,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,8,7516.74,0,0,,,
01/02/2019,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1,668.62,0,0,,,
01/02/2019,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QJK,NHS DEVON INTEGRATED CARE BOARD,4,4173.66,0,0,,,
01/02/2019,QVV,NHS DORSET INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2,1752.53,0,0,,,
01/02/2019,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1,1002.92,0,0,,,
01/02/2019,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1,1089.42,0,0,,,
01/02/2019,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,2,1671.55,0,0,,,
01/02/2019,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1,688.62,0,0,,,
01/02/2019,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",18,18011.29,0,0,,,
01/02/2019,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,4,3008.78,0,0,,,
01/02/2019,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,3,2340.16,0,0,,,
01/02/2019,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,6,5176.61,0,0,,,
01/02/2019,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,5,5769.72,0,0,,,
01/02/2019,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,8,7441.25,0,0,,,
01/02/2019,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",0,0,0,0,,,
01/02/2019,QSL,NHS SOMERSET INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,3,1691.55,0,0,,,
01/02/2019,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1,1002.92,0,0,,,
01/02/2019,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,0,0,0,0,,,
01/02/2019,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,5,5449.9,0,0,,,
01/02/2019,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1,1002.92,0,0,,,
01/02/2019,QNX,NHS SUSSEX INTEGRATED CARE BOARD,7,6286.02,0,0,,,
01/02/2019,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,1,1002.92,0,0,,,
01/03/2019,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",0,0,0,0,,,
01/03/2019,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1,1003.39,0,0,,,
01/03/2019,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",0,0,0,0,,,
01/03/2019,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",1,1003.39,0,0,,,
01/03/2019,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,10,10033.92,0,0,,,
01/03/2019,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,1,1084.38,0,0,,,
01/03/2019,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1,668.93,0,0,,,
01/03/2019,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QJK,NHS DEVON INTEGRATED CARE BOARD,2,2006.79,0,0,,,
01/03/2019,QVV,NHS DORSET INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,3,2503.24,0,0,,,
01/03/2019,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,1,668.93,0,0,,,
01/03/2019,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1,1003.39,0,0,,,
01/03/2019,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1,1089.89,0,0,,,
01/03/2019,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,2,668.94,0,0,,,
01/03/2019,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1,668.93,0,0,,,
01/03/2019,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",18,16220.79,0,0,,,
01/03/2019,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,3,2381.25,0,0,,,
01/03/2019,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,3,2361.25,0,0,,,
01/03/2019,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,5,4013.58,0,0,,,
01/03/2019,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,1,1003.39,0,0,,,
01/03/2019,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,9,8462.59,0,0,,,
01/03/2019,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",0,0,0,0,,,
01/03/2019,QSL,NHS SOMERSET INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,4,3424.64,0,0,,,
01/03/2019,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1,1003.39,0,0,,,
01/03/2019,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,0,0,0,0,,,
01/03/2019,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,10,9030.56,0,0,,,
01/03/2019,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1,1003.39,0,0,,,
01/03/2019,QNX,NHS SUSSEX INTEGRATED CARE BOARD,6,6187.84,0,0,,,
01/03/2019,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,2,2018.77,0,0,,,
01/04/2019,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",0,0,0,0,,,
01/04/2019,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1,1003.43,0,0,,,
01/04/2019,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",0,0,0,0,,,
01/04/2019,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",2,3030.27,0,0,,,
01/04/2019,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,8,7692.95,0,0,,,
01/04/2019,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,1,1089.93,0,0,,,
01/04/2019,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QJK,NHS DEVON INTEGRATED CARE BOARD,3,3010.28,0,0,,,
01/04/2019,QVV,NHS DORSET INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1,1003.43,0,0,,,
01/04/2019,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1,1003.43,0,0,,,
01/04/2019,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1,1089.93,0,0,,,
01/04/2019,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,4,2361.35,0,0,,,
01/04/2019,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1,678.95,0,0,,,
01/04/2019,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",19,18161.69,0,0,,,
01/04/2019,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,3,2675.81,0,0,,,
01/04/2019,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,1,334.48,0,0,,,
01/04/2019,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,6,5017.14,0,0,,,
01/04/2019,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,3,3679.22,0,0,,,
01/04/2019,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,6,5391.61,0,0,,,
01/04/2019,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",0,0,0,0,,,
01/04/2019,QSL,NHS SOMERSET INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,4,3030.3,0,0,,,
01/04/2019,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1,1003.43,0,0,,,
01/04/2019,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,8,6807.53,0,0,,,
01/04/2019,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,0,0,0,0,,,
01/04/2019,QNX,NHS SUSSEX INTEGRATED CARE BOARD,4,3344.76,0,0,,,
01/04/2019,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,2,2006.86,0,0,,,
01/05/2019,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",0,0,0,0,,,
01/05/2019,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1,1002.96,0,0,,,
01/05/2019,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",0,0,0,0,,,
01/05/2019,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",1,1002.96,0,0,,,
01/05/2019,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,7,6767.4,0,0,,,
01/05/2019,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,1,1002.96,0,0,,,
01/05/2019,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1,668.65,0,0,,,
01/05/2019,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QJK,NHS DEVON INTEGRATED CARE BOARD,2,2005.92,0,0,,,
01/05/2019,QVV,NHS DORSET INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2,1418.28,0,0,,,
01/05/2019,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,1,668.65,0,0,,,
01/05/2019,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1,1089.46,0,0,,,
01/05/2019,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,3,2005.94,0,0,,,
01/05/2019,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1,668.65,0,0,,,
01/05/2019,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",21,19490.62,0,0,,,
01/05/2019,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,3,2025.94,0,0,,,
01/05/2019,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,2,1337.29,0,0,,,
01/05/2019,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,7,6807.4,0,0,,,
01/05/2019,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,2,3008.87,0,0,,,
01/05/2019,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,4,3697.53,0,0,,,
01/05/2019,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",0,0,0,0,,,
01/05/2019,QSL,NHS SOMERSET INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,7,5349.15,0,0,,,
01/05/2019,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1,1002.96,0,0,,,
01/05/2019,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,0,0,0,0,,,
01/05/2019,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,9,6746.44,0,0,,,
01/05/2019,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1,1002.96,0,0,,,
01/05/2019,QNX,NHS SUSSEX INTEGRATED CARE BOARD,7,6554.08,0,0,,,
01/05/2019,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,1,1002.96,0,0,,,
01/06/2019,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",0,0,0,0,,,
01/06/2019,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1,1003.69,0,0,,,
01/06/2019,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,0,0,0,0,,,
01/06/2019,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,0,0,0,0,,,
01/06/2019,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",0,0,0,0,,,
01/06/2019,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",2,3031.05,0,0,,,
01/06/2019,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,7,6691.27,0,0,,,
01/06/2019,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,1,1003.69,0,0,,,
01/06/2019,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,0,0,0,0,,,
01/06/2019,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2,1338.26,0,0,,,
